game,review_text,review_date,review_title,author,a
Braveland Pirate, J ai jou?? aux 3 et ce dernier est le plus abouti. Comme pour les 2 autres la prise en main est facile au d??but ??a parait simpliste mais petit ?? petit ??a devient de plus en plus dure la difficult?? est donc bien dos??. Les graphismes collent bien ?? l ambiance et aux dialogues qui sont bien sympas (?? noter que la traduction fran??aise est parfaite m??me dans l humour) m??me si il y en a peut-??tre un peu trop parfois. J???esp??re que les prochains seront encore plus strat??giques surtout au niveau de l utilisation des d??cors (comme par exemple pouvoir se prot??ger avec) car parfois on reste un peu sur notre faim quand on aime ??a. Aucun probl??me d???installation et aucun bug pendant le jeu. Je le recommande. , November 1 2018, J ai jou?? aux 3 et ce dernier est le plus abouti,robertson,a
Transport Fever," I have no experience with earlier versions of the game but as it is now - in 2018 after its significant UI and stability update - it is a magnificent transport tycoon game. While the tutorials and voice acting are unforgivably condescending and long-winded (which thankfully can be disabled) and the campaigns are tedious at best the free play mode is an ideal sandbox and will represent the bulk of time investment with the game if you have the dedication to augment the experience yourself. --- This is is a game for people who enjoy both the challenge of logistics routing / management and watching trains haul things because there s a lot of that. Trains will haul cargo through vast open valleys rocky mountains parched desert lake beds and european farmland on their way from town to town to be sold for profit granted you designed a profitable route. It all looks great in motion and the reward is meeting the demands of towns that will grow dynamically in response. --- Like any hobby this game requires an interest in tweaking things under the bonnet to fully enjoy and GOG users will have to contend with some quirks to complete the experience. For example mods mysteriously require a ""_1"" suffix appended to their root folder names in order for the game to recognize them. It s best to use the unofficial mod manager (TPFMM) rather than acquire the mods online yourself but some mods cannot be acquired through its database - particularly from the Workshop. In order to download those exclusive mods you (GOG users) will need SteamCMD the appropriate AppID (which is 446800) and the ID for the mod you want (found in the web address for the mod s Workshop page). There s a bit of file management involved but the exceptional modding community make it worthwhile as they provide additions both supplementary and necessary. --- Discover the depth of this community and the game for yourself if you re enticed by the idea of a new hobby in the form of a game. ", November 1 2018, I have no experience with earlier versions of the game but as it is now - in 2018 after its significant UI and stability update - it is a magnificent transport tycoon game,malone3970,a
Arcanum: Of Steamworks And Magick Obscura, played it back in 2003 i think and just loved it. its like playing witcher or dragon age back than.sadly troika is no more.hope someone will release a remastered hd version. , August 9 2018, played it back in 2003 i think and just loved it,strong4847,a
Halfway, Great game. Interesting story. Challenging at times. , February 4 2018, Great game,hurst5964,a
Niko: Through The Dream, No suelo jugar mucho a juegos pero cuando lo hago suelen ser aventuras que tengan puzles o retos de pensar por eso cuando vi este juego me llam?? mucho la curiosidad tanto por sus gr??ficos como por su m??sica as?? que quise darle una oportunidad... y he salido muy contenta de la experiencia! El juego es muy bonito entra por los ojos desde el primer momento y tiene una m??sica que acompa??a muy bien en todo momento. Sus puzles no son muy complicados pero son variados y no se hacen pesados. Hay partes de exploraci??n de saltar etc. la verdad es que es muy variado en este sentido. Por criticar algo estar??a bien que se pudiera guardar partida en cualquier punto y no solo al comienzo de cada nivel. Pues eso un juego muy bonito y divertido de jugar. , October 20 2015, No suelo jugar mucho a juegos pero cuando lo hago suelen ser aventuras que tengan puzles o retos de pensar por eso cuando vi este juego me llam?? mucho la curiosidad tanto por sus gr??ficos como por su m??sica as?? que quise darle una oportunidad,scott7771,a
Neverwinter Nights: Pirates Of The Sword Coast, A few of the original developers already shared this module on-line many years ago for free for the Diamond edition but Beamdog felt the need to charge $ 2.99 for their  Enhancededition. I just thought that you should know that before considering your purchase. , October 13 2018, A few of the original developers already shared this module on-line many years ago for free for the Diamond edition but Beamdog felt the need to charge $ 2,mendez4731,a
Dreamfall: The Longest Journey, ???????????????????? ?????????????? ????????????????: ?????????? ???????? ?????????????? ?????????????? ?????????? ?????????? ???????? ?????????? ?????????? ??????????????. ???????????? ???????????????? ?????????????? ?????????????????? ?????????????????? ???? ???????????? ???????????????????? - ?????????????????? ?????? ?????????? ?????????????? ???????? ?? ?????????? ???????????????? ????????! ???????????? ?? ?????????? ?????????? ???? ?????????????????? ?????????????????????? ???????????? ?? ?? ???????????? ?????? ???????? ?????????????????????? ???? ???????????????????? ????????-???????????? ???????????? ???????????????????? ?????????????????? ???????????????????? ?????? ?? ???????????????? ???????????????? ?????? ????????????????? ?????????????? ???? ?? ???????? ?? ?? ?????????? ???????????????????? ?? ?????????? ?????????????? ???????????????????????? ?????????????? - ?????? ???????????? ??????????. ?? ???? ???? ???????????? ?????? ?????? ?????????? ?????? ???? ?????????? ?????? ?? ???? ?????????????? - ?????????????????? ???????????? ???? ??????????????????????. (???? ?? ???????????? ?? ?????????????????? ???? ?????????????? ???????? ???????????????????? ?????? ???????? - ???? ?????? ???? ?????????????????????? ?????? ??????????????!) ?? ?? ?????????????????????? ?????? ?????????????????????? ???????? ?????? ????????-???????? ?????????? ?? ?????????????? ?????????????? ?????????? ?????????????? ?????? ?????? ??????-???? ?????????????? ??????????! ??????????. ?????????????????? ???????????????????? ???????????????????????????????? ???????????????? ???????????????????? ???????? ???????????????????? ?? ??????????-???? ??????????-???????????????????????????? ????????????. ???????????????? ?? ???????????????? ???????????????????? ???????????? ?????????? ??????-???? ?????????????????? ???? ?????????? ?? ???????????? ?????? ?????????? ?? ??????????? ??. ???????? ?????????? ?? ???????????? ?? ???????????? ???? ???????????? ?????? ???? ?????????? ?? ???? ?????????????????? ?????? ???????? ?? ??????????????. ???????? ????-?????????? ???????? ???????????????? ???? ?????? ?????? ?????????????????? ??????-???? ???????????????????? ?????????????? ???????? ?? ?????????? ???????????? ?????? ???? ??????????! ?????? ???????????? ?????? ?? ???????????? ???????????? ???????????? ?????????? ?? ??????????-???? ?????????????????? ???? ???????????????? ?????????? ???????? ???? ???????? ???? ???????????? ?????????????? ????????? ???? ???? ????????: ?????????????? ?????? ???? ???????????? ?????????? ???????? ???? ???????????????? ???? ?????????????????????? ?????????? ???????? ???????????????????????? ??????????????? ?? ?????? ????????????-????????????-????????????... ?? ???????????? ????-???? ???????????????????????? ?????????????? ?? ???????? ?????????????? ???????????? ?? ???? ???????????? ???????????? ?????????? ?????? ???????? ???? ?????????? ?????????? ?? ???????????? ???? ???????? ???????????? ?? ???? ??????. ????????! ?? ???? ???????? ?????????? ?????????? ?????????????? ???????????????????? ???????? ???????????????? ???????????????????? ???????????? ???? ?????????????? ???????????????????? ?????? ?????????????????????? ???????????? ??????????????????. , August 9 2018, ???????????????????? ?????????????? ????????????????: ?????????? ???????? ?????????????? ?????????????? ?????????? ?????????? ???????? ?????????? ?????????? ??????????????,roberts8173,a
Uprising: Join Or Die, I got this as I was a fan of the demo back when I was young unfortunately this game is completely broken in win 10 and will not even start. both steam AND the GOG versions of it fail to start or crash to desktop apon calling in a citadel making the game impossible to play and is extremely frustrating as the GOG version supposedly had a path to IMPROVE win 10 stability! , February 14 2018, I got this as I was a fan of the demo back when I was young unfortunately this game is completely broken in win 10 and will not even start,roach2841,a
No Pineapple Left Behind, The most recent game from an openly lefty studio--whichever way that might influence you. It s critique is somewhat basic but sound. Teachers have limited energy; energy spent helping individual students is less energy they have to teach well and produce good grades. Less good grades means less funding for you. Therefore turning your charges into mindless fruit is objectively good. It makes it easy to see just how easy it is to forget the human aspect of things when your are so driven to just focus on the numbers. Things that are not easily quantifiable are not important. As for the gameplay it is essentially a puzzle game rather than a simulator. You will spend time guessing and testing different approaches for different levels until you figure out the right key. You ll be tight on money time or grades and you ll need to hit upon just the right thing to do in order to complete the level. (Should I train my teachers up fire them each round spend experience on new lessons or new abilities etc.) It s more Sudoku than SimCity. Therefore I think only those who enjoy puzzle games will find it fun. For the rest of us it is something more than fun it is important. , November 11 2016, The most recent game from an openly lefty studio--whichever way that might influence you,baird4371,a
Conarium, Pretty damn great. Get it if you re a lovecraft nut like me , September 25 2018, Pretty damn great,mcdonald,a
Pillars Of Eternity II: Deadfire, Lepsza czytleniejsza walka i leszpy opis zdolno??ci wraz z drzewkiem. Pi??kniejsza grafika du??o nowych rozwi??za?? i jeszcze wi??cej tajemnic doprawione lepsz?? mechanik?? gry. , November 1 2018, Lepsza czytleniejsza walka i leszpy opis zdolno??ci wraz z drzewkiem,kirby6579,a
Neverwinter Nights: Enhanced Edition," If you are running windows 7 or later and want a copy of NWN that will install and run with instant access to multiplayer servers then NWNEE is for you. If you want an enhanced edition of one of an older title that will impress you with a modern look slicker UI or improved content prepare to be disappointed. Out of the box on my system NWNEE looked considerably worse than NWN Diamond. EE allows you to zoom to extreme close-up to see those Win98 era pixelated graphics in vibrant colour but zooming out - where you actually play when the action starts everything looks very blurry. Using the advanced graphics list now included in options and unselecting all of them clears this up. Perhaps with the latest graphics card this will appear as an improvement but I can discern no graphical improvement even when looking at Beamdog s promotional stills. I am also experiencing periodic audio levels dropping when playing in multiplayer which do not occur on the same system running NWN DE. Some tileset ""improvements"" are annoying like peaked roofs inside parapets to drown your archers. EE allows for better multitasking allowing me to minimize the game to the taskbar just like the old game did with windows XP. That is a positive I have not seen in other reviews. UI scaling is a big improvement for some displays. Keep in mind that the developers chose to make what is basically a patch report as a new version making it incompatible with NWN patched to 1.69 unlike the community 1.71 patch which is fully backwards compatible. Fortunately GOG is offering NWN diamond for free with the NWNEE purchase so anyone who wishes to compare can still do so and NWN EE will allow individual users to upgrade with overrides from the vault with as much effort as it would take with previous versions. Adding additional content like the latest CEP is as easy as ever except that the NWN folder has been moved to the Documents folder in Windows. ", October 25 2018, If you are running windows 7 or later and want a copy of NWN that will install and run with instant access to multiplayer servers then NWNEE is for you,farrell1385,a
State Of Mind, This is a tough review overall I enjoyed the game and the story but... I think the story could ve gone further things were even hinted at for this direction (I won t be specific for spoiler reasons). This game has some of the worst animation and character designs I ve seen. Part of it is for a reason (which I won t spoil) but since it was applied throught the entire game I have to ding some points off it. There are some typos in the title cards that appear including an incorrect date which messes the story up. , September 15 2018, This is a tough review overall I enjoyed the game and the story but,garner7486,a
Predynastic Egypt, and not really re-playable. , November 2 2018, and not really re-playable,bolton2293,a
Redshirt, It really is an extremly addictive game. And I m loving it! It has a very nice Star Trek vibe and a lot of humour in it. , July 22 2018, It really is an extremly addictive game,pierce,a
Praetorians," If you wanna loose some nerves people this is for you as game in most of it missions is very chalenging (omg defending that camp in Gaul /(&amp;(/=Q%(""=&amp;/""#=) ", May 20 2018," If you wanna loose some nerves people this is for you as game in most of it missions is very chalenging (omg defending that camp in Gaul /(&amp;(/=Q%(""=&amp;/""#=) ",irwin,a
Reigns: Her Majesty, Black screen on linux ! , April 3 2018, Black screen on linux ! ,hood5711,a
Craft The World, This game is a lying buggy mess. The main GOG page states it s Multiplayer/Co-Op which is a flat lie. Multiplayer must be purchased as a separate $6 DLC. WOMEN must be purchased as a separate $3 DLC. I can t decide which disgusts me more. I played this on a friend s PC and learned that her multiplayer DLC absolutely would not be detected by the game meanwhile the other PC s worked fine for no discernible reason (same version). So even after you go through the disgusting practice of piecemeal multiplayer and women into your game you may not get it. On top of that the gameplay is nothing as advertised the options are basically none like some sort of mobile phone port and there s no borderless window option so enjoy having your 2+ monitors all eaten up by this one incredible buggy mess. This should be removed from the GOG store outright for lying about its features. , June 15 2018, This game is a lying buggy mess,maxwell7694,a
Men Of War: Assault Squad, I ve never been into WW2 combat or games or anything WW2. But I took a chance and bought this game knowing not what to expect. This game s blown me away. I ve went my whole strategy career not even knowing this type of game existed. It s basically a war simulator (Editor included ;)) with surprising depth. Every battle is an actual battle and it s not like most WW2 games I ve  seenthat try to be all Hollywood instead it s basically a long list of maps that you wage war on and it s fun as hell. You can control every unit their supply ... you ll see a tank roar over the tree-covered ridge ahead and panic???your AT unit s behind a rock you swing the bastard around and blast the enemy tank s turret out of commission. It s great fun and highly recommended. Glad I made the purchase. This will be a game played for years now we just gotta get Assault Squad 2 on here and Call to Arms. , January 24 2016, I ve never been into WW2 combat or games or anything WW2,lara,a
Baldur S Gate: Enhanced Edition, First: ignore reviews from the time this was first released. Developer Beamdog has been patching and tinkering with Baldur s Gate EE for (at this writing) four years constantly improving the engine content and quality assurance and the game now is a significantly more worthy product than it was on launch day. Baldur s Gate EE re-releases and enhances the influential D&amp;D classic Baldur s Gate and comes complete with the original expansion plus several new companions classses quests and areas. On top of that it updates the original to higher resolutions and greater levels of zoom and adds a wealth of quality-of-life improvements to the interface - most notably around looting and inventory management. It lets you play an icon of the genre without dealing with some of the more frustrating design limitations of the era. There s a school of thought that says that Baldur s Gate EE offers nothing that can t be obtained through heavy modding of the original. If you re someone who must have the control and customisation of mods there s something to be said for that - although Baldur s Gate EE is now capable of supporting mods itself. But if you want a great game that runs perfectly straight out of the box with no fiddling and delivers the complete Baldur s Gate purchase this is for you. AND buying Baldur s Gate EE will let you play the excellent Siege of Dragonspear expansion AND load your game-winning party into Baldur s Gate 2 EE AND the game is still being improved and patched with ongoing commitment and support from the developer. What more could you ask for? , November 1 2018, First: ignore reviews from the time this was first released,coffey,a
Incredipede," I always had a fascination for Latin America: from the Andes to the Amazon Jungle there are so many exotic regions to explore that it awakens the adventurer in me not to mention the powerful attraction that pre-Columbian cultures exert on me. Incredipede scratches an itch then as its art (in both visual and audio departments) is heavily inspired by the developersstay in Central America. There s more: indirectly it also touches upon the history of this region of the world and while the story is (very) secondary in the context of playing this game it nonetheless provides a line of thought that goes much deeper than you re likely to realise at first. (For more on the background of this title s development check out ""Born Unequal: The Story of Incredipede"" an article featured on the gaming website Polygon.) Incredipede is a puzzle game that puts you in the limbs (yes) of Quozzle: she s an ""incredipede"" which basically stands for all life as it can change shape to better adapt to the numerous challenges of the environment and the game s mechanics are a way to explore the different forms that life takes. In effect there s a normal mode and a hard mode: in the former Quozzle s design in each level is provided for you and in the latter you have to design her yourself. New limbs are created by dragging outward from the central eye and muscles are dropped in by tapping the two attachment points. It s not necessarily intuitive and both designing a new creature and moving throughout the levels will take some getting used to but that just increases the satisfaction you earn from beating a puzzle. There s also a level editor and tons of content made by the community. The textures used in this title are smooth and heavily lined giving the appearance of a living woodblock print or an oil painting. The art direction is very good and coupled with the music s exotic (if repetitive) tunes the game s original character is enhanced. 3.5/5 stars - worth a try. ", September 17 2016, I always had a fascination for Latin America: from the Andes to the Amazon Jungle there are so many exotic regions to explore that it awakens the adventurer in me not to mention the powerful attraction that pre-Columbian cultures exert on me,cleveland9539,a
Infinifactory, THREE DEEEEEEE!!!!! , October 28 2018, THREE DEEEEEEE!!!!! ,mckenzie9221,a
Super Puzzle Platformer Deluxe," This was a real surprise. It s a furiously addictive mash-up of your standard  match the coloured blocks(most like Capcom s Super Puzzle Fighter II) and an action platformer in the vein of Contra. You just jump about shooting the blocks scoring combos and gambling by letting the blocks merge into one huge coloured ... THING! You re about to pop it.. and ""hnnnggrrryyyaargh!"" You didn t consider the fact that this coloured mass is the only thing standing between you and instant death courtesy of spikes that line the bottom of the screen! That s a beginner s error and planning is required. That s the beauty of this game: It seems ridiculously hard at first yet you say ""one more go"" and before you know it you re surviving for 15 minutes or more and getting good scores. You die you try again you improve you die you try again you get worse and do the equivalent of a Mario death at first goomba you use bad language and vow to come back later to seek revenge. You don t do that though no. You immediately try again. You top the high score table... Controls are perfect the presentation is very good featuring appropriate (for once)  80 s-style blocky graphics and some great chip tunes. There are multiple characters to choose from each featuring different attributes and different methods of busting blocks such as a ninja who can double jump and throw shurikens or a guy who can use twin pistols to shoot blocks at either side or one side at a time. I like the standard default dude: a bloke who can jump fairly high and can glide using his cape. Can t go wrong with him but the others are a nice bonus. Not much more to say other than you run and jump and shoot coloured blocks and it s a great time. If you ve enjoyed a gem puzzler a platformer or a run &amp; gun-style shooter give this one a try. Be warned it s very hard but that s how a score-chasing game like this should be. ", April 24 2015, This was a real surprise,perkins,a
Offworld Trading Company - Almanac Dlc," Pros. Beautiful landscapes Very well done graphics A nice civilization style building game Great if you love finances spreadsheets playing the stock market or want to be an accountant Cons. 1. Building your civilization devolves into a heated rush every game that gets faster and faster with the only goal being to beat your apponent to the financial finish line. 2. It seems to become (rapidly) less about ""lets play a game"" and more ""lets beat the numbers"". 3. What good are all the new senarios and graphics when the game never really changes are adds something new? In other words as said before one objective only. Beat your apponent to financial success as fast as you can. 4 A never ending payout. So far the cost of everything is up to $49.93 and while this game is nice paying $5.00 and up continually for every new expansion imo is ludicrous. Big title games cost $50.00 or $60.00 with much more content than this. A new DLC for this game is actually $14.00. Finally I was going to at least give it three stars but seeing how much they are charging drops it down to two. It s dissapointing. It s a beautiful game and great concept. I feel they could do so much more but their coasting along on making money off expansions that really add little more to the game. ", August 7 2017, Pros,pitts5589,a
Europa Universalis III Complete," This is the first Paradox game I ever bought. The user interface is not great given the native resolution of my monitor. Although there is no in-game setting for UI scaling or text-size adjustment the Paradox forums refer to mods and modding instructions that allow you to change the text size and/or mod the interface. However when you try to access those specific forum threads it locks you out saying you must be logged in. So I went and registered an account over there and confirmed my email but then when I revisited the page I was trying to access Paradox now tells me I must link my Paradox account with my Steam account for the ""privilege"" of viewing mod instructions for an issue that should be addressed within the game in the first place. Apparently Paradox has no use for Good Old Games customers. ", June 20 2018, This is the first Paradox game I ever bought,christensen3464,a
Expeditions: Viking, It has vikings it has tactics it has cool story and it s replayable... , October 22 2018, It has vikings it has tactics it has cool story and it s replayable,monroe1680,a
Overlord II, I have lots of fun with Overlord II but unable to give it more than 3 stars and that s because the Spider Temple level. Up until that point the bad camera and control during minions sweeping is annoying but manageable it become pure frustration there. It s just about halfway through the game and likely make you rage quit. , July 30 2018, I have lots of fun with Overlord II but unable to give it more than 3 stars and that s because the Spider Temple level,brewer8372,a
Randal S Monday, This is a point-and-click adventure game with inventory and dialogue based puzzles. I felt that the puzzles were fair. I was able to play through the game without consulting a guide. The game provides a lot of hints in observations from the main character about what you need to be doing to achieve the next objective. The graphics music and sound effects all seem very well done. The music was enjoyable to listen to for the most part. The story is comical making fun of a lot of sci-fi gamer and other pop culture references. There is a neat sci-fi element in reliving the same day over and over again and seeing how the choices the main character make change the timeline. There are several strong side characters that make multiple appearances. I would say the main negative is some crude and mean-spirited language from the main character but this doesn t overwhelm the experience. , November 13 2017, This is a point-and-click adventure game with inventory and dialogue based puzzles,gilmore,a
Screamer, If you ever wanted a game that???s FAST? SIMPLE? and FUN? Well this racing game from the 90: s will do. This is one of the good old Arcade racers combability? Your fridge can run it! , May 7 2018, If you ever wanted a game that???s FAST? SIMPLE? and FUN? Well this racing game from the 90: s will do,dominguez1001,a
